operating_period_id,line_factory_id,product_id,order_id,shift_id,machine_state_id,operator_id,work_order_status_id,timestamp,planned_qty,produced_qty,scrap_qty,cycle_time_s,oee,availability,performance,quality,maintenance_type_id,maintenance_due_date,vibration_mm_s,temperature_c,pressure_bar,energy_kwh
15,0,2,1762,1,2,9,1,2025-11-03T07:15:00.000+01:00,70,30,0,30.91,0.521,0.51,1.039,0.983,1,2025-11-04,1.912,34.78,5.33,7.419
16,2,2,292,1,1,6,3,2025-11-03T07:15:00.000+01:00,75,73,4,32.51,0.694,1.0,0.738,0.941,1,2025-11-06,1.786,39.3,6.49,12.188
17,1,0,1946,1,1,16,3,2025-11-03T07:15:00.000+01:00,45,43,2,34.15,0.975,1.0,1.037,0.941,1,2025-11-04,1.704,36.98,7.0,11.267
18,0,1,0,1,1,18,3,2025-11-03T07:30:00.000+01:00,56,52,1,33.57,0.953,1.0,0.975,0.977,1,2025-11-04,2.333,39.68,6.47,10.94
19,2,2,483,1,1,0,3,2025-11-03T07:30:00.000+01:00,55,53,3,28.17,0.693,1.0,0.748,0.927,1,2025-11-05,2.24,37.07,6.71,11.621
20,1,0,1233,1,0,9,1,2025-11-03T07:30:00.000+01:00,44,2,0,38.68,0.724,0.7,1.078,0.96,0,2025-11-10,1.57,33.51,5.3,6.533
21,0,0,1116,1,1,18,0,2025-11-03T07:45:00.000+01:00,76,77,1,32.55,0.703,1.0,0.716,0.983,0,2025-11-05,1.484,39.18,6.87,12.284
22,2,2,421,1,1,8,3,2025-11-03T07:45:00.000+01:00,46,45,2,30.64,0.726,1.0,0.771,0.942,1,2025-11-10,1.512,38.61,5.96,12.601
23,1,1,587,1,1,12,3,2025-11-03T07:45:00.000+01:00,62,53,2,42.91,0.821,1.0,0.856,0.96,0,2025-11-17,1.948,39.86,6.6,10.826
24,0,0,1839,1,1,4,3,2025-11-03T08:00:00.000+01:00,74,71,2,44.92,0.698,1.0,0.722,0.967,0,2025-11-17,2.162,38.5,7.04,12.569
25,2,1,503,1,1,5,3,2025-11-03T08:00:00.000+01:00,46,41,2,29.66,0.879,1.0,0.933,0.942,0,2025-11-17,2.183,37.53,6.4,12.872
26,1,2,293,1,1,18,0,2025-11-03T08:00:00.000+01:00,78,80,3,26.13,0.718,1.0,0.748,0.96,2,2025-11-06,2.308,35.99,6.88,11.082
27,0,2,375,1,1,0,0,2025-11-03T08:15:00.000+01:00,77,77,3,43.49,1.0,1.0,1.068,0.959,1,2025-11-04,2.087,38.78,6.36,11.407
28,2,2,262,1,1,2,0,2025-11-03T08:15:00.000+01:00,55,56,1,37.94,0.836,1.0,0.855,0.978,1,2025-11-04,1.465,37.53,6.26,11.351
29,1,2,75,1,1,0,3,2025-11-03T08:15:00.000+01:00,59,53,1,26.65,1.0,1.0,1.051,0.962,1,2025-11-10,1.532,39.3,6.41,12.124
30,0,1,815,1,1,16,3,2025-11-03T08:30:00.000+01:00,52,44,1,43.26,0.893,1.0,0.934,0.956,1,2025-11-04,2.542,37.03,6.31,12.543
31,2,2,319,1,1,12,3,2025-11-03T08:30:00.000+01:00,43,42,0,38.43,0.9,1.0,0.908,0.991,0,2025-11-06,2.027,40.56,6.85,12.654
32,1,1,1148,1,1,15,3,2025-11-03T08:30:00.000+01:00,62,60,1,32.01,0.917,1.0,0.936,0.979,0,2025-11-05,1.945,39.37,6.77,11.741
33,0,0,1194,1,4,9,3,2025-11-03T08:45:00.000+01:00,56,21,0,44.6,0.513,0.62,0.832,0.994,1,2025-11-04,1.17,31.89,5.16,5.647
34,2,2,132,1,1,7,3,2025-11-03T08:45:00.000+01:00,43,39,1,28.85,0.689,1.0,0.716,0.961,1,2025-11-03,1.776,39.91,6.26,11.205
35,1,2,1339,1,1,13,3,2025-11-03T08:45:00.000+01:00,73,66,1,35.23,0.742,1.0,0.763,0.973,0,2025-11-17,1.69,37.45,6.55,11.705
36,0,1,1971,1,1,13,3,2025-11-03T09:00:00.000+01:00,63,54,3,42.34,0.793,1.0,0.842,0.943,0,2025-11-04,1.804,38.94,6.59,11.753
37,2,1,1550,1,0,11,1,2025-11-03T09:00:00.000+01:00,64,9,0,35.74,0.653,0.681,0.998,0.96,0,2025-11-05,0.933,34.96,5.08,5.918
38,1,0,1888,1,4,5,3,2025-11-03T09:00:00.000+01:00,76,9,0,28.73,0.362,0.485,0.769,0.969,2,2025-11-05,0.868,30.75,5.21,5.936
39,0,2,648,1,4,19,3,2025-11-03T09:15:00.000+01:00,67,23,0,43.59,0.599,0.662,0.929,0.974,1,2025-11-05,1.428,30.93,5.0,5.258
40,2,0,1602,1,1,11,3,2025-11-03T09:15:00.000+01:00,40,36,0,35.65,0.708,1.0,0.721,0.983,3,2025-11-06,2.304,38.54,6.32,11.608
41,1,0,123,1,2,16,1,2025-11-03T09:15:00.000+01:00,44,19,0,28.62,0.326,0.343,0.996,0.953,1,2025-11-10,1.245,30.79,5.16,8.119
42,0,2,1712,1,1,4,3,2025-11-03T09:30:00.000+01:00,44,42,1,34.04,0.951,1.0,0.986,0.965,0,2025-11-05,2.883,39.22,6.71,12.959
43,2,2,451,1,1,13,3,2025-11-03T09:30:00.000+01:00,79,75,0,38.87,0.765,1.0,0.767,0.997,2,2025-11-06,1.987,36.47,7.01,12.909
44,1,0,855,1,1,0,0,2025-11-03T09:30:00.000+01:00,43,43,1,41.93,0.726,1.0,0.751,0.967,0,2025-11-04,2.151,39.66,6.37,11.753
45,0,0,406,1,1,18,3,2025-11-03T09:45:00.000+01:00,75,67,1,33.02,0.868,1.0,0.885,0.981,0,2025-11-06,1.55,36.97,6.58,13.073
46,2,2,596,1,1,10,0,2025-11-03T09:45:00.000+01:00,51,52,3,26.55,0.694,1.0,0.742,0.936,3,2025-11-04,1.802,39.34,6.31,12.817
47,1,2,617,1,1,18,3,2025-11-03T09:45:00.000+01:00,79,73,1,27.29,0.845,1.0,0.866,0.976,2,2025-11-05,2.323,39.32,6.48,12.872
48,0,0,804,1,1,18,3,2025-11-03T10:00:00.000+01:00,63,55,1,35.3,1.0,1.0,1.09,0.974,1,2025-11-06,2.07,39.81,6.83,11.902
49,2,2,422,1,1,12,3,2025-11-03T10:00:00.000+01:00,69,61,2,34.44,0.891,1.0,0.926,0.962,1,2025-11-06,2.602,38.31,6.42,10.958
50,1,2,239,1,1,18,0,2025-11-03T10:00:00.000+01:00,43,43,1,33.17,0.684,1.0,0.71,0.963,1,2025-11-03,2.509,39.06,6.78,11.175
51,0,2,1621,1,1,14,3,2025-11-03T10:15:00.000+01:00,76,74,2,42.11,0.998,1.0,1.032,0.967,2,2025-11-04,2.246,37.54,6.18,11.753
52,2,2,1157,1,2,0,1,2025-11-03T10:15:00.000+01:00,62,14,0,43.21,0.562,0.706,0.834,0.953,1,2025-11-10,1.161,33.74,5.1,8.52
53,1,0,1404,1,1,2,3,2025-11-03T10:15:00.000+01:00,61,53,2,34.7,0.864,1.0,0.905,0.954,0,2025-11-04,2.648,38.08,6.26,12.58
54,0,2,1660,1,1,12,3,2025-11-03T10:30:00.000+01:00,73,62,0,38.03,1.0,1.0,1.032,0.993,1,2025-11-06,2.628,39.1,6.99,11.295
55,2,1,606,1,1,13,3,2025-11-03T10:30:00.000+01:00,41,40,1,30.77,0.805,1.0,0.842,0.956,0,2025-11-05,1.299,36.49,6.67,12.526
56,1,1,625,1,1,0,3,2025-11-03T10:30:00.000+01:00,75,66,2,37.47,0.85,1.0,0.89,0.955,0,2025-11-10,1.288,38.47,6.19,11.627
57,0,2,636,1,1,2,0,2025-11-03T10:45:00.000+01:00,76,79,4,38.81,0.854,1.0,0.909,0.94,0,2025-11-10,2.276,36.81,6.89,11.008
58,2,1,670,1,1,11,3,2025-11-03T10:45:00.000+01:00,54,46,1,36.12,0.859,1.0,0.889,0.966,1,2025-11-04,1.765,38.23,6.61,11.551
59,1,2,529,1,2,17,1,2025-11-03T10:45:00.000+01:00,70,28,1,29.6,0.26,0.378,0.731,0.941,1,2025-11-03,0.842,30.97,5.58,8.314
60,0,0,328,1,1,12,3,2025-11-03T11:00:00.000+01:00,57,53,1,25.0,0.747,1.0,0.774,0.964,1,2025-11-04,1.74,39.99,7.28,11.722
61,2,2,1763,1,1,6,3,2025-11-03T11:00:00.000+01:00,59,52,1,29.67,0.692,1.0,0.717,0.966,0,2025-11-05,2.094,36.39,6.49,10.843
62,1,2,1954,1,3,4,2,2025-11-03T11:00:00.000+01:00,45,5,0,39.87,0.278,0.342,0.861,0.943,1,2025-11-04,0.999,32.42,5.39,4.27
63,0,2,1205,1,2,16,1,2025-11-03T11:15:00.000+01:00,42,16,0,36.95,0.508,0.641,0.804,0.985,1,2025-11-10,1.199,33.14,5.25,8.024
64,2,0,637,1,1,14,3,2025-11-03T11:15:00.000+01:00,64,61,1,42.24,0.995,1.0,1.024,0.972,1,2025-11-05,2.042,37.22,6.24,12.373
65,1,2,1278,1,1,15,0,2025-11-03T11:15:00.000+01:00,65,67,2,38.24,0.88,1.0,0.918,0.959,1,2025-11-10,2.693,40.06,6.55,12.875
66,0,2,1206,1,4,12,3,2025-11-03T11:30:00.000+01:00,64,19,0,34.31,0.585,0.871,0.702,0.956,0,2025-11-03,1.139,31.68,5.27,5.852
67,2,0,638,1,1,1,3,2025-11-03T11:30:00.000+01:00,71,64,1,41.37,0.736,1.0,0.751,0.98,1,2025-11-10,1.868,38.31,6.49,11.48
68,1,2,1024,1,1,3,3,2025-11-03T11:30:00.000+01:00,59,50,3,31.92,0.89,1.0,0.948,0.939,1,2025-11-03,1.79,35.95,6.61,10.91
69,0,2,1077,1,1,3,0,2025-11-03T11:45:00.000+01:00,56,57,3,40.46,0.74,1.0,0.792,0.934,0,2025-11-05,1.773,38.22,5.95,11.115
70,2,0,1066,1,2,11,1,2025-11-03T11:45:00.000+01:00,57,18,0,41.9,0.72,0.795,0.95,0.953,1,2025-11-05,1.397,32.91,5.57,7.41
71,1,2,277,1,1,3,3,2025-11-03T11:45:00.000+01:00,48,45,1,31.21,0.845,1.0,0.882,0.957,0,2025-11-05,1.725,36.64,6.45,10.828
72,0,2,1933,1,4,0,3,2025-11-03T12:00:00.000+01:00,77,18,0,27.85,0.571,0.624,0.947,0.965,0,2025-11-05,1.211,31.19,5.13,5.723
73,2,2,1889,1,1,0,3,2025-11-03T12:00:00.000+01:00,52,48,2,29.0,0.733,1.0,0.767,0.956,2,2025-11-03,2.37,35.87,6.92,11.051
74,1,2,142,1,0,17,1,2025-11-03T12:00:00.000+01:00,51,7,0,38.22,0.588,0.659,0.939,0.95,1,2025-11-04,1.19,34.62,5.03,6.341
75,0,0,155,1,1,11,3,2025-11-03T12:15:00.000+01:00,52,50,1,33.67,0.694,1.0,0.717,0.967,1,2025-11-05,1.201,33.95,6.65,11.188
76,2,2,1925,1,2,14,1,2025-11-03T12:15:00.000+01:00,72,17,0,37.58,0.754,0.778,1.007,0.962,1,2025-11-06,2.378,33.01,5.49,8.008
77,1,2,1311,1,1,11,3,2025-11-03T12:15:00.000+01:00,42,41,1,28.59,0.773,1.0,0.795,0.973,1,2025-11-05,1.883,38.79,6.6,13.131
78,0,1,1955,1,1,13,3,2025-11-03T12:30:00.000+01:00,78,75,2,38.13,0.803,1.0,0.83,0.967,1,2025-11-03,1.891,35.76,6.03,12.656
79,2,0,511,1,1,11,3,2025-11-03T12:30:00.000+01:00,69,64,3,32.59,0.893,1.0,0.942,0.948,1,2025-11-10,2.071,38.23,6.95,11.656
80,1,1,907,1,1,11,3,2025-11-03T12:30:00.000+01:00,59,50,2,34.04,1.0,1.0,1.074,0.945,2,2025-11-04,2.004,38.1,6.32,11.559
81,0,1,407,1,1,1,0,2025-11-03T12:45:00.000+01:00,64,65,3,27.79,0.669,1.0,0.712,0.94,2,2025-11-06,2.258,32.21,6.22,11.539
82,2,2,286,1,3,5,2,2025-11-03T12:45:00.000+01:00,44,1,0,41.62,0.835,0.862,1.007,0.962,0,2025-11-10,1.256,31.95,5.39,3.69
83,1,0,320,1,1,1,0,2025-11-03T12:45:00.000+01:00,45,46,1,40.3,1.0,1.0,1.07,0.965,1,2025-11-05,1.843,36.98,6.74,11.852
84,0,0,58,1,1,14,3,2025-11-03T13:00:00.000+01:00,40,37,0,29.75,0.83,1.0,0.849,0.978,0,2025-11-06,1.72,41.11,6.55,11.345
85,2,2,1207,1,1,7,3,2025-11-03T13:00:00.000+01:00,41,35,0,36.6,0.898,1.0,0.913,0.983,2,2025-11-10,2.23,34.93,6.7,12.259
86,1,2,1874,1,1,10,0,2025-11-03T13:00:00.000+01:00,55,56,2,32.03,0.709,1.0,0.741,0.958,3,2025-11-05,1.606,37.87,6.24,11.966
87,0,0,1430,1,1,9,3,2025-11-03T13:15:00.000+01:00,75,69,1,28.69,0.803,1.0,0.818,0.981,1,2025-11-10,1.94,38.13,6.25,12.704
88,2,0,873,1,1,8,3,2025-11-03T13:15:00.000+01:00,65,63,3,29.74,0.948,1.0,1.012,0.937,1,2025-11-06,2.499,37.4,6.41,11.46
89,1,0,1542,1,1,17,3,2025-11-03T13:15:00.000+01:00,44,43,1,37.84,0.912,1.0,0.943,0.967,1,2025-11-06,1.452,38.91,6.33,12.112
90,0,1,1703,1,1,17,3,2025-11-03T13:30:00.000+01:00,42,39,2,43.11,0.948,1.0,1.009,0.939,1,2025-11-05,2.686,36.96,6.84,11.436
91,2,2,102,1,1,12,3,2025-11-03T13:30:00.000+01:00,41,35,0,38.6,0.782,1.0,0.792,0.987,1,2025-11-17,1.468,39.65,6.05,11.896
92,1,2,196,1,3,11,2,2025-11-03T13:30:00.000+01:00,75,7,0,33.45,0.569,0.834,0.7,0.974,1,2025-11-05,1.353,33.05,5.19,3.841
93,0,1,252,1,2,7,1,2025-11-03T13:45:00.000+01:00,40,13,0,27.55,0.826,0.837,1.013,0.975,2,2025-11-03,0.668,32.45,4.96,8.334
94,2,0,1017,1,4,2,3,2025-11-03T13:45:00.000+01:00,62,15,0,42.03,0.448,0.436,1.072,0.96,2,2025-11-10,1.667,33.68,5.07,5.078
95,1,1,1956,1,1,8,3,2025-11-03T13:45:00.000+01:00,54,47,0,37.82,1.0,1.0,1.029,0.981,1,2025-11-10,1.88,40.63,7.24,11.118
96,0,0,579,2,1,5,3,2025-11-03T14:00:00.000+01:00,64,55,3,40.53,0.705,1.0,0.749,0.941,1,2025-11-03,1.816,31.22,6.72,12.226
97,2,0,1497,2,1,18,3,2025-11-03T14:00:00.000+01:00,44,41,1,27.84,0.716,1.0,0.749,0.957,0,2025-11-03,1.749,37.33,6.59,11.528
98,1,1,1822,2,1,4,3,2025-11-03T14:00:00.000+01:00,78,69,4,33.1,0.905,1.0,0.962,0.941,1,2025-11-04,3.08,38.85,5.92,11.65
99,0,1,103,2,1,5,3,2025-11-03T14:15:00.000+01:00,54,53,2,37.59,0.741,1.0,0.78,0.951,0,2025-11-04,1.826,35.61,6.46,10.955
100,2,2,1009,2,1,3,3,2025-11-03T14:15:00.000+01:00,73,72,0,34.19,1.0,1.0,1.014,1.0,1,2025-11-05,1.552,37.11,6.84,12.941
101,1,1,1179,2,2,7,1,2025-11-03T14:15:00.000+01:00,60,19,0,42.79,0.611,0.593,1.053,0.979,1,2025-11-03,1.304,27.68,5.19,7.369
102,0,0,504,2,1,12,3,2025-11-03T14:30:00.000+01:00,63,53,0,44.83,1.0,1.0,1.088,1.0,0,2025-11-05,2.478,38.37,6.32,13.062
103,2,1,1040,2,1,9,3,2025-11-03T14:30:00.000+01:00,77,73,3,38.35,0.674,1.0,0.704,0.957,1,2025-11-17,1.953,38.49,6.44,11.413
104,1,1,1725,2,1,3,3,2025-11-03T14:30:00.000+01:00,51,44,2,28.13,0.677,1.0,0.717,0.943,0,2025-11-05,2.081,37.94,6.25,11.066
105,0,2,1679,2,1,19,3,2025-11-03T14:45:00.000+01:00,60,56,0,30.17,0.903,1.0,0.918,0.984,1,2025-11-04,2.64,40.27,6.61,12.327
106,2,2,710,2,4,10,3,2025-11-03T14:45:00.000+01:00,64,20,0,44.3,0.448,0.617,0.76,0.954,0,2025-11-10,1.002,30.64,5.64,5.327
107,1,2,1234,2,1,6,3,2025-11-03T14:45:00.000+01:00,64,56,1,44.84,0.714,1.0,0.74,0.965,0,2025-11-06,2.235,37.96,6.33,11.764
108,0,0,1640,2,1,12,3,2025-11-03T15:00:00.000+01:00,48,40,0,32.36,0.811,1.0,0.831,0.976,1,2025-11-17,1.851,39.3,6.72,11.157
109,2,2,1248,2,1,2,3,2025-11-03T15:00:00.000+01:00,65,60,0,26.86,0.926,1.0,0.935,0.991,0,2025-11-06,2.074,40.53,6.33,11.954
110,1,0,816,2,1,17,0,2025-11-03T15:00:00.000+01:00,58,58,1,40.7,0.96,1.0,0.983,0.976,1,2025-11-04,2.32,37.99,5.67,12.693
111,0,2,263,2,1,19,0,2025-11-03T15:15:00.000+01:00,67,70,3,40.71,0.715,1.0,0.747,0.956,0,2025-11-06,2.435,39.15,6.39,11.784
112,2,2,376,2,1,17,3,2025-11-03T15:15:00.000+01:00,42,35,1,43.81,0.78,1.0,0.804,0.971,1,2025-11-05,1.787,39.54,6.65,11.831
113,1,2,1939,2,1,6,3,2025-11-03T15:15:00.000+01:00,78,73,4,27.71,0.943,1.0,1.001,0.942,1,2025-11-04,1.919,39.56,6.47,12.377
114,0,1,805,2,1,9,3,2025-11-03T15:30:00.000+01:00,55,51,1,25.93,0.919,1.0,0.948,0.97,1,2025-11-10,1.562,39.43,6.11,12.149
115,2,2,607,2,1,10,0,2025-11-03T15:30:00.000+01:00,59,60,3,34.89,1.0,1.0,1.092,0.937,1,2025-11-05,2.244,37.25,6.25,11.148
116,1,1,1461,2,1,8,3,2025-11-03T15:30:00.000+01:00,72,64,3,27.3,0.989,1.0,1.044,0.947,1,2025-11-06,1.853,37.1,6.55,12.535
117,0,2,1180,2,1,9,3,2025-11-03T15:45:00.000+01:00,60,58,2,39.99,0.787,1.0,0.816,0.964,3,2025-11-17,1.674,37.72,6.41,12.689
118,2,2,1049,2,1,19,0,2025-11-03T15:45:00.000+01:00,65,65,0,42.59,1.0,1.0,1.048,0.989,1,2025-11-10,1.987,38.19,6.6,11.373
119,1,2,321,2,1,7,0,2025-11-03T15:45:00.000+01:00,72,72,1,33.82,0.76,1.0,0.778,0.976,1,2025-11-10,1.708,33.74,6.42,11.248
120,0,2,1293,2,4,14,3,2025-11-03T16:00:00.000+01:00,54,7,0,42.14,0.678,0.889,0.811,0.94,2,2025-11-04,1.039,33.31,5.1,6.032
121,2,0,1025,2,1,4,0,2025-11-03T16:00:00.000+01:00,43,44,1,27.45,0.967,1.0,0.99,0.977,1,2025-11-06,2.145,40.28,6.24,11.575
122,1,2,945,2,1,4,0,2025-11-03T16:00:00.000+01:00,74,75,3,34.42,0.984,1.0,1.029,0.957,1,2025-11-10,1.104,40.64,6.47,11.902
123,0,2,1713,2,1,0,0,2025-11-03T16:15:00.000+01:00,60,61,1,36.54,0.971,1.0,0.995,0.976,0,2025-11-03,2.267,39.22,6.36,12.735
124,2,2,49,2,1,7,3,2025-11-03T16:15:00.000+01:00,67,59,3,26.37,0.948,1.0,1.005,0.943,3,2025-11-04,2.088,37.24,6.6,11.78
125,1,2,1421,2,0,17,1,2025-11-03T16:15:00.000+01:00,72,9,0,42.29,0.538,0.655,0.852,0.963,0,2025-11-03,0.823,30.05,5.14,6.572
126,0,1,287,2,3,15,2,2025-11-03T16:30:00.000+01:00,58,7,0,37.43,0.595,0.663,0.951,0.943,1,2025-11-04,2.037,32.99,4.97,4.026
127,2,2,546,2,1,8,3,2025-11-03T16:30:00.000+01:00,72,65,0,39.86,0.714,1.0,0.719,0.992,2,2025-11-06,2.36,39.56,6.63,12.967
128,1,2,817,2,2,15,1,2025-11-03T16:30:00.000+01:00,68,18,0,36.47,0.579,0.728,0.801,0.993,1,2025-11-06,1.166,31.01,5.72,7.552
129,0,1,671,2,1,0,3,2025-11-03T16:45:00.000+01:00,47,43,1,42.85,0.854,1.0,0.877,0.973,1,2025-11-10,2.7,34.34,6.87,12.257
130,2,0,1740,2,1,11,0,2025-11-03T16:45:00.000+01:00,42,43,2,26.42,0.746,1.0,0.802,0.93,1,2025-11-04,1.985,39.22,6.32,11.668
131,1,1,981,2,1,2,3,2025-11-03T16:45:00.000+01:00,79,74,6,25.99,0.941,1.0,1.033,0.91,1,2025-11-05,1.282,36.59,6.41,12.825
132,0,2,649,2,1,8,3,2025-11-03T17:00:00.000+01:00,63,61,2,34.87,0.948,1.0,0.981,0.966,1,2025-11-05,1.739,36.41,6.38,13.183
133,2,2,1105,2,1,12,3,2025-11-03T17:00:00.000+01:00,51,46,2,41.59,0.678,1.0,0.716,0.946,0,2025-11-10,1.518,38.84,6.75,12.892
134,1,2,1318,2,4,7,3,2025-11-03T17:00:00.000+01:00,59,11,0,37.93,0.8,0.877,0.939,0.971,0,2025-11-06,1.073,35.01,5.11,5.502
135,0,0,946,2,1,15,3,2025-11-03T17:15:00.000+01:00,69,58,0,36.54,0.713,1.0,0.717,0.994,0,2025-11-10,2.293,36.71,5.91,11.095
136,2,1,474,2,1,17,3,2025-11-03T17:15:00.000+01:00,75,67,4,41.45,0.98,1.0,1.043,0.94,1,2025-11-06,1.723,36.66,5.95,13.0
137,1,0,1890,2,1,0,3,2025-11-03T17:15:00.000+01:00,63,55,0,31.92,0.748,1.0,0.762,0.982,1,2025-11-05,2.558,37.57,6.89,10.861
138,0,2,1687,2,1,4,3,2025-11-03T17:30:00.000+01:00,47,41,1,34.71,0.683,1.0,0.711,0.961,1,2025-11-03,2.164,38.56,6.47,12.013
139,2,2,953,2,1,14,0,2025-11-03T17:30:00.000+01:00,69,70,0,33.88,1.0,1.0,1.098,0.988,1,2025-11-04,1.689,35.09,6.56,12.109
140,1,1,1468,2,1,8,0,2025-11-03T17:30:00.000+01:00,52,52,1,28.89,0.697,1.0,0.723,0.964,1,2025-11-06,2.299,40.46,5.91,11.622
141,0,2,865,2,0,16,1,2025-11-03T17:45:00.000+01:00,74,10,0,25.79,0.55,0.609,0.917,0.985,1,2025-11-10,1.908,32.99,5.28,5.673
142,2,0,736,2,1,4,3,2025-11-03T17:45:00.000+01:00,56,52,2,34.84,0.788,1.0,0.821,0.96,0,2025-11-05,2.383,39.31,7.3,11.979
143,1,1,1741,2,2,17,1,2025-11-03T17:45:00.000+01:00,56,24,1,44.12,0.3,0.43,0.744,0.936,1,2025-11-10,1.118,31.33,5.55,8.566
144,0,1,982,2,3,4,2,2025-11-03T18:00:00.000+01:00,52,1,0,25.61,0.744,0.867,0.911,0.942,0,2025-11-05,1.396,33.58,5.53,4.106
145,2,0,988,2,3,14,2,2025-11-03T18:00:00.000+01:00,74,7,0,39.76,0.814,0.842,0.996,0.971,3,2025-11-06,1.502,33.71,5.44,3.714
146,1,1,204,2,1,8,3,2025-11-03T18:00:00.000+01:00,73,68,1,41.16,1.0,1.0,1.079,0.974,1,2025-11-04,2.243,37.71,6.51,10.974
147,0,0,1823,2,1,15,3,2025-11-03T18:15:00.000+01:00,77,66,0,30.62,1.0,1.0,1.021,0.992,1,2025-11-05,1.922,36.47,6.75,13.03
148,2,2,1302,2,1,12,3,2025-11-03T18:15:00.000+01:00,60,55,1,34.08,1.0,1.0,1.029,0.974,1,2025-11-05,2.887,39.17,6.63,12.131
149,1,2,947,2,4,3,3,2025-11-03T18:15:00.000+01:00,52,11,0,33.05,0.27,0.367,0.776,0.949,0,2025-11-10,1.838,33.62,5.41,5.811
150,0,2,1088,2,4,4,3,2025-11-03T18:30:00.000+01:00,68,14,0,40.78,0.727,0.88,0.874,0.945,0,2025-11-03,1.159,31.02,5.32,5.951
151,2,2,1235,2,1,9,0,2025-11-03T18:30:00.000+01:00,62,63,1,43.88,0.785,1.0,0.808,0.972,2,2025-11-05,1.612,36.34,6.5,11.941
152,1,2,156,2,1,17,3,2025-11-03T18:30:00.000+01:00,53,45,1,39.39,0.819,1.0,0.848,0.966,3,2025-11-10,2.523,38.65,6.75,12.887
153,0,2,10,2,1,7,3,2025-11-03T18:45:00.000+01:00,46,45,1,25.86,0.935,1.0,0.967,0.967,0,2025-11-03,2.592,41.93,6.57,12.776
154,2,2,580,2,1,1,0,2025-11-03T18:45:00.000+01:00,61,63,3,42.55,0.679,1.0,0.717,0.947,1,2025-11-04,2.626,37.45,6.42,11.754
155,1,2,30,2,1,9,3,2025-11-03T18:45:00.000+01:00,69,61,0,39.78,0.788,1.0,0.789,0.998,0,2025-11-06,2.735,36.55,7.03,12.34
156,0,1,1957,2,0,8,1,2025-11-03T19:00:00.000+01:00,71,10,0,42.99,0.801,0.762,1.075,0.979,0,2025-11-06,1.183,30.67,4.99,6.124
157,2,1,246,2,1,4,3,2025-11-03T19:00:00.000+01:00,71,69,4,37.39,0.985,1.0,1.058,0.931,0,2025-11-17,1.624,38.65,6.16,12.833
